,count_bindings_in_miRNA,pair_state_No,mFE,hairpin_count,stem_length,distanceToloop,percentage_PairedInMiRNA,pair_state_Yes,binding_count,armType_loop,interiorLoopCount,index,clusterName,chrom,start,end,miRNA,sample,annotation
15407,17,1,-14.9,1,25,4,1.0,0,25,0,4,15407,mapped_nonMirna_SRR372648:miRCluster_766_19:chr2:198287061_198287079+,2,198287061,198287079,False,SRR372648,
15408,2,1,-19.3,1,19,10,0.12,0,19,0,5,15408,mapped_nonMirna_SRR372648:miRCluster_798_17:chr2:207313563_207313579+,2,207313563,207313579,False,SRR372648,
15409,12,1,-18.6,2,30,-27,0.75,0,30,0,5,15409,mapped_nonMirna_SRR372648:miRCluster_812_16:chr2:224682377_224682392+,2,224682377,224682392,False,SRR372648,
15410,0,0,-8.0,1,18,-31,0.0,1,18,0,4,15410,mapped_nonMirna_SRR372648:miRCluster_1082_24:chr2:231456444_231456467-,2,231456444,231456467,False,SRR372648,
15411,6,0,-8.9,1,18,-5,0.46,1,18,0,4,15411,mapped_nonMirna_SRR372648:miRCluster_1083_30:chr2:231456479_231456508-,2,231456479,231456508,False,SRR372648,
15412,11,1,-29.2,1,16,-4,0.69,0,16,0,1,15412,mapped_nonMirna_SRR372648:miRCluster_1094_18:chr2:240748511_240748528-,2,240748511,240748528,False,SRR372648,
15413,11,1,-21.6,1,28,19,0.69,0,28,0,9,15413,mapped_nonMirna_SRR372648:miRCluster_5405_17:chr20:2654212_2654228+,20,2654212,2654228,False,SRR372648,
15414,12,1,-33.2,1,30,14,0.71,0,30,0,5,15414,mapped_nonMirna_SRR372648:miRCluster_5409_27:chr20:2656938_2656964+,20,2656938,2656964,False,SRR372648,
15415,9,1,-9.0,1,16,-10,0.47,0,16,0,3,15415,mapped_nonMirna_SRR372648:miRCluster_5509_24:chr20:29297166_29297189-,20,29297166,29297189,False,SRR372648,
15416,15,1,-35.0,1,34,10,0.68,0,34,0,6,15416,mapped_nonMirna_SRR372648:miRCluster_5440_26:chr20:38449435_38449460+,20,38449435,38449460,False,SRR372648,
15417,11,1,-11.6,1,17,4,0.69,0,17,0,3,15417,mapped_nonMirna_SRR372648:miRCluster_5531_16:chr20:42241423_42241438-,20,42241423,42241438,False,SRR372648,
15418,8,1,-12.7,1,19,6,0.5,0,19,0,4,15418,mapped_nonMirna_SRR372648:miRCluster_5534_18:chr20:44612517_44612534-,20,44612517,44612534,False,SRR372648,
15419,6,1,-6.2,1,8,-10,0.43,0,8,1,1,15419,mapped_nonMirna_SRR372648:miRCluster_5459_16:chr20:50301561_50301576+,20,50301561,50301576,False,SRR372648,
15420,9,1,-29.1,1,17,-7,0.6,0,17,1,3,15420,mapped_nonMirna_SRR372648:miRCluster_5554_16:chr21:8218777_8218792+,21,8218777,8218792,False,SRR372648,
15421,7,1,-33.7,1,18,-3,0.7,0,18,0,3,15421,mapped_nonMirna_SRR372648:miRCluster_5558_25:chr21:8400416_8400440+,21,8400416,8400440,False,SRR372648,
15422,8,1,-11.2,1,16,-2,0.57,0,16,0,3,15422,mapped_nonMirna_SRR372648:miRCluster_5593_16:chr21:15128187_15128202-,21,15128187,15128202,False,SRR372648,
15423,10,1,-10.9,1,10,-3,0.53,0,10,0,1,15423,mapped_nonMirna_SRR372648:miRCluster_5609_19:chr21:40391229_40391247-,21,40391229,40391247,False,SRR372648,
15424,9,1,-22.3,1,25,12,0.53,0,25,0,7,15424,mapped_nonMirna_SRR372648:miRCluster_5614_17:chr21:45050606_45050622-,21,45050606,45050622,False,SRR372648,
15425,14,1,-17.2,1,21,2,0.88,0,21,0,3,15425,mapped_nonMirna_SRR372648:miRCluster_1132_16:chr3:43775073_43775088+,3,43775073,43775088,False,SRR372648,
15426,8,1,-12.8,1,19,-2,0.5,0,19,0,3,15426,mapped_nonMirna_SRR372648:miRCluster_1325_17:chr3:65529084_65529100-,3,65529084,65529100,False,SRR372648,
15427,10,1,-12.8,2,23,15,0.67,0,23,0,3,15427,mapped_nonMirna_SRR372648:miRCluster_1177_21:chr3:101762297_101762317+,3,101762297,101762317,False,SRR372648,
15428,6,1,-18.6,1,23,13,0.4,0,23,0,5,15428,mapped_nonMirna_SRR372648:miRCluster_1365_16:chr3:106307744_106307759-,3,106307744,106307759,False,SRR372648,
15429,12,1,-17.6,2,26,10,0.52,0,26,0,5,15429,mapped_nonMirna_SRR372648:miRCluster_1393_26:chr3:128714571_128714596-,3,128714571,128714596,False,SRR372648,
15430,6,1,-31.5,2,28,-5,0.32,0,28,0,3,15430,mapped_nonMirna_SRR372648:miRCluster_1396_29:chr3:129397210_129397238-,3,129397210,129397238,False,SRR372648,
15431,6,1,-16.9,1,27,15,0.38,0,27,0,6,15431,mapped_nonMirna_SRR372648:miRCluster_1206_23:chr3:130675553_130675575+,3,130675553,130675575,False,SRR372648,
15432,11,1,-30.7,1,30,18,0.73,0,30,0,8,15432,mapped_nonMirna_SRR372648:miRCluster_1414_25:chr3:149086490_149086514-,3,149086490,149086514,False,SRR372648,
15433,14,1,-13.1,1,28,9,0.88,0,28,0,6,15433,mapped_nonMirna_SRR372648:miRCluster_1423_17:chr3:152176790_152176806-,3,152176790,152176806,False,SRR372648,
15434,11,1,-3.9,1,9,-16,0.61,0,9,1,1,15434,mapped_nonMirna_SRR372648:miRCluster_1233_18:chr3:157360454_157360471+,3,157360454,157360471,False,SRR372648,
15435,12,1,-14.2,1,22,8,0.8,0,22,0,4,15435,mapped_nonMirna_SRR372648:miRCluster_1433_16:chr3:167470468_167470483-,3,167470468,167470483,False,SRR372648,
15436,11,1,-7.3,1,15,-7,0.61,0,15,0,1,15436,mapped_nonMirna_SRR372648:miRCluster_1249_18:chr3:175810130_175810147+,3,175810130,175810147,False,SRR372648,
15437,8,1,-11.8,1,19,-2,0.5,0,19,0,4,15437,mapped_nonMirna_SRR372648:miRCluster_1454_16:chr3:191172344_191172359-,3,191172344,191172359,False,SRR372648,
15438,6,1,-10.0,2,14,5,0.43,0,14,0,2,15438,mapped_nonMirna_SRR372648:miRCluster_1634_17:chr4:45405639_45405655-,4,45405639,45405655,False,SRR372648,
15439,8,1,-7.8,1,8,-4,0.5,0,8,0,1,15439,mapped_nonMirna_SRR372648:miRCluster_1503_17:chr4:65524023_65524039+,4,65524023,65524039,False,SRR372648,
15440,8,1,-19.7,1,25,7,0.62,0,25,0,5,15440,mapped_nonMirna_SRR372648:miRCluster_1647_25:chr4:73153973_73153997-,4,73153973,73153997,False,SRR372648,
15441,9,1,-7.0,1,10,-8,0.5,0,10,1,2,15441,mapped_nonMirna_SRR372648:miRCluster_1659_26:chr4:82402648_82402673-,4,82402648,82402673,False,SRR372648,
15442,10,1,-15.1,1,26,13,0.62,0,26,0,6,15442,mapped_nonMirna_SRR372648:miRCluster_1522_16:chr4:91491921_91491936+,4,91491921,91491936,False,SRR372648,
15443,9,1,-9.3,2,13,-6,0.5,0,13,0,0,15443,mapped_nonMirna_SRR372648:miRCluster_1670_18:chr4:92192758_92192775-,4,92192758,92192775,False,SRR372648,
15444,8,1,-9.0,1,9,-14,0.47,0,9,1,1,15444,mapped_nonMirna_SRR372648:miRCluster_1671_20:chr4:98574518_98574537-,4,98574518,98574537,False,SRR372648,
15445,13,1,-16.9,1,26,10,0.57,0,26,0,7,15445,mapped_nonMirna_SRR372648:miRCluster_1535_26:chr4:118279295_118279320+,4,118279295,118279320,False,SRR372648,
15446,12,1,-9.2,1,21,4,0.75,0,21,0,5,15446,mapped_nonMirna_SRR372648:miRCluster_1548_24:chr4:139360512_139360535+,4,139360512,139360535,False,SRR372648,
15447,6,1,-3.5,1,7,-9,0.38,0,7,0,1,15447,mapped_nonMirna_SRR372648:miRCluster_1711_17:chr4:164917960_164917976-,4,164917960,164917976,False,SRR372648,
15448,8,1,-24.1,1,16,-6,0.5,0,16,0,3,15448,mapped_nonMirna_SRR372648:miRCluster_1582_16:chr4:182144997_182145012+,4,182144997,182145012,False,SRR372648,
15449,10,1,-11.7,1,16,-5,0.62,0,16,0,2,15449,mapped_nonMirna_SRR372648:miRCluster_1733_17:chr5:6732506_6732522+,5,6732506,6732522,False,SRR372648,
15450,10,0,-14.5,1,20,11,0.53,1,20,0,4,15450,mapped_nonMirna_SRR372648:miRCluster_1735_26:chr5:9548838_9548863+,5,9548838,9548863,False,SRR372648,
15451,10,1,-14.7,2,14,-1,0.62,0,14,0,1,15451,mapped_nonMirna_SRR372648:miRCluster_1740_16:chr5:26508670_26508685+,5,26508670,26508685,False,SRR372648,
15452,12,0,-20.9,1,39,15,0.75,1,39,0,8,15452,mapped_nonMirna_SRR372648:miRCluster_1886_24:chr5:40832662_40832685-,5,40832662,40832685,False,SRR372648,
15453,17,0,-20.2,1,37,15,0.85,1,37,0,7,15453,mapped_nonMirna_SRR372648:miRCluster_1887_25:chr5:40832707_40832731-,5,40832707,40832731,False,SRR372648,
15454,12,1,-17.0,1,20,-1,0.75,0,20,0,4,15454,mapped_nonMirna_SRR372648:miRCluster_1761_17:chr5:62730786_62730802+,5,62730786,62730802,False,SRR372648,
15455,6,1,-13.8,1,18,3,0.55,0,18,0,3,15455,mapped_nonMirna_SRR372648:miRCluster_1785_16:chr5:98071368_98071383+,5,98071368,98071383,False,SRR372648,
15456,6,1,-7.0,1,10,-13,0.32,0,10,0,1,15456,mapped_nonMirna_SRR372648:miRCluster_1961_25:chr5:134925365_134925389-,5,134925365,134925389,False,SRR372648,
15457,9,1,-21.1,1,13,-14,0.6,0,13,1,2,15457,mapped_nonMirna_SRR372648:miRCluster_2006_17:chr5:174793874_174793890-,5,174793874,174793890,False,SRR372648,
15458,8,1,-17.3,2,12,-3,0.53,0,12,0,0,15458,mapped_nonMirna_SRR372648:miRCluster_2009_16:chr5:176532059_176532074-,5,176532059,176532074,False,SRR372648,
15459,11,1,-16.3,1,20,12,0.61,0,20,0,4,15459,mapped_nonMirna_SRR372648:miRCluster_2217_18:chr6:13448726_13448743-,6,13448726,13448743,False,SRR372648,
15460,12,1,-26.0,2,25,4,0.67,0,25,0,2,15460,mapped_nonMirna_SRR372648:miRCluster_2220_24:chr6:16302867_16302890-,6,16302867,16302890,False,SRR372648,
15461,6,1,-21.4,1,28,20,0.38,0,28,0,3,15461,mapped_nonMirna_SRR372648:miRCluster_2223_16:chr6:18682169_18682184-,6,18682169,18682184,False,SRR372648,
15462,11,1,-28.0,2,31,-2,0.73,0,31,0,3,15462,mapped_nonMirna_SRR372648:miRCluster_2041_18:chr6:19456723_19456740+,6,19456723,19456740,False,SRR372648,
15463,11,1,-13.8,1,24,12,0.69,0,24,0,4,15463,mapped_nonMirna_SRR372648:miRCluster_2225_16:chr6:21409701_21409716-,6,21409701,21409716,False,SRR372648,
15464,3,1,-36.7,2,24,24,0.21,0,24,0,3,15464,mapped_nonMirna_SRR372648:miRCluster_2091_17:chr6:30647109_30647125+,6,30647109,30647125,False,SRR372648,
15465,12,0,-12.9,1,21,24,0.67,1,21,0,5,15465,mapped_nonMirna_SRR372648:miRCluster_2311_26:chr6:85677294_85677319-,6,85677294,85677319,False,SRR372648,
15466,12,0,-15.7,2,33,-14,0.67,1,33,1,6,15466,mapped_nonMirna_SRR372648:miRCluster_2312_26:chr6:85677343_85677368-,6,85677343,85677368,False,SRR372648,
15467,11,1,-16.5,1,28,23,0.69,0,28,0,4,15467,mapped_nonMirna_SRR372648:miRCluster_2156_17:chr6:125767475_125767491+,6,125767475,125767491,False,SRR372648,
15468,4,1,-7.3,1,18,5,0.27,0,18,0,3,15468,mapped_nonMirna_SRR372648:miRCluster_2163_17:chr6:132711367_132711383+,6,132711367,132711383,False,SRR372648,
15469,9,1,-25.6,1,24,8,0.6,0,24,0,5,15469,mapped_nonMirna_SRR372648:miRCluster_2358_16:chr6:136489829_136489844-,6,136489829,136489844,False,SRR372648,
15470,4,1,-18.9,1,23,21,0.25,0,23,0,5,15470,mapped_nonMirna_SRR372648:miRCluster_2360_17:chr6:137016420_137016436-,6,137016420,137016436,False,SRR372648,
15471,6,1,-16.8,1,10,-9,0.4,0,10,1,1,15471,mapped_nonMirna_SRR372648:miRCluster_2366_17:chr6:142947230_142947246-,6,142947230,142947246,False,SRR372648,
15472,8,1,-7.9,1,9,1,0.5,0,9,0,0,15472,mapped_nonMirna_SRR372648:miRCluster_2369_17:chr6:144723312_144723328-,6,144723312,144723328,False,SRR372648,
15473,9,1,-18.4,1,16,-2,0.56,0,16,0,4,15473,mapped_nonMirna_SRR372648:miRCluster_2389_17:chr6:166678641_166678657-,6,166678641,166678657,False,SRR372648,
15474,13,1,-20.7,2,18,-28,0.72,0,18,0,2,15474,mapped_nonMirna_SRR372648:miRCluster_2556_18:chr7:25635425_25635442-,7,25635425,25635442,False,SRR372648,
15475,2,1,-11.5,1,13,-13,0.13,0,13,0,1,15475,mapped_nonMirna_SRR372648:miRCluster_2415_16:chr7:30332375_30332390+,7,30332375,30332390,False,SRR372648,
15476,8,1,-27.5,1,20,-7,0.5,0,20,0,4,15476,mapped_nonMirna_SRR372648:miRCluster_2427_17:chr7:44325463_44325479+,7,44325463,44325479,False,SRR372648,
15477,9,1,-11.9,2,25,-4,0.56,0,25,0,3,15477,mapped_nonMirna_SRR372648:miRCluster_2579_17:chr7:49008979_49008995-,7,49008979,49008995,False,SRR372648,
15478,13,1,-8.7,2,16,-22,0.76,0,16,0,3,15478,mapped_nonMirna_SRR372648:miRCluster_2580_18:chr7:53532999_53533016-,7,53532999,53533016,False,SRR372648,
15479,13,1,-29.7,1,24,0,0.81,0,24,0,5,15479,mapped_nonMirna_SRR372648:miRCluster_2447_16:chr7:73434236_73434251+,7,73434236,73434251,False,SRR372648,
15480,10,1,-20.7,1,24,11,0.67,0,24,0,5,15480,mapped_nonMirna_SRR372648:miRCluster_2454_16:chr7:75637085_75637100+,7,75637085,75637100,False,SRR372648,
15481,7,1,-5.4,1,11,-12,0.39,0,11,1,2,15481,mapped_nonMirna_SRR372648:miRCluster_2602_20:chr7:84613859_84613878-,7,84613859,84613878,False,SRR372648,
15482,14,1,-15.5,1,25,1,0.88,0,25,0,4,15482,mapped_nonMirna_SRR372648:miRCluster_2609_20:chr7:90186985_90187004-,7,90186985,90187004,False,SRR372648,
15483,10,1,-14.9,1,15,-15,0.62,0,15,1,2,15483,mapped_nonMirna_SRR372648:miRCluster_2505_17:chr7:129772861_129772877+,7,129772861,129772877,False,SRR372648,
15484,6,1,-20.6,2,21,15,0.4,0,21,0,2,15484,mapped_nonMirna_SRR372648:miRCluster_2507_17:chr7:130274147_130274163+,7,130274147,130274163,False,SRR372648,
15485,6,1,-5.8,1,7,-8,0.4,0,7,1,1,15485,mapped_nonMirna_SRR372648:miRCluster_2667_17:chr7:158828813_158828829-,7,158828813,158828829,False,SRR372648,
15486,11,1,-7.6,1,14,-8,0.65,0,14,1,2,15486,mapped_nonMirna_SRR372648:miRCluster_2677_19:chr8:11507527_11507545+,8,11507527,11507545,False,SRR372648,
15487,12,1,-12.0,1,26,10,0.71,0,26,0,5,15487,mapped_nonMirna_SRR372648:miRCluster_2777_18:chr8:18003709_18003726-,8,18003709,18003726,False,SRR372648,
15488,4,1,-11.5,3,16,9,0.25,0,16,0,0,15488,mapped_nonMirna_SRR372648:miRCluster_2700_19:chr8:24164322_24164340+,8,24164322,24164340,False,SRR372648,
15489,11,1,-18.5,1,25,14,0.69,0,25,0,6,15489,mapped_nonMirna_SRR372648:miRCluster_2720_17:chr8:49072939_49072955+,8,49072939,49072955,False,SRR372648,
15490,8,1,-13.0,1,23,24,0.5,0,23,0,5,15490,mapped_nonMirna_SRR372648:miRCluster_2745_17:chr8:99373346_99373362+,8,99373346,99373362,False,SRR372648,
15491,8,1,-20.4,1,18,-5,0.5,0,18,0,1,15491,mapped_nonMirna_SRR372648:miRCluster_2756_16:chr8:129087630_129087645+,8,129087630,129087645,False,SRR372648,
15492,9,1,-18.0,1,28,18,0.56,0,28,0,8,15492,mapped_nonMirna_SRR372648:miRCluster_2894_17:chr9:17485973_17485989+,9,17485973,17485989,False,SRR372648,
15493,13,1,-8.4,1,13,-14,0.72,0,13,1,1,15493,mapped_nonMirna_SRR372648:miRCluster_3040_18:chr9:71347588_71347605-,9,71347588,71347605,False,SRR372648,
15494,12,1,-22.2,3,29,-21,0.8,0,29,0,3,15494,mapped_nonMirna_SRR372648:miRCluster_3054_16:chr9:86169950_86169965-,9,86169950,86169965,False,SRR372648,
15495,18,1,-14.9,3,30,-26,0.9,0,30,0,6,15495,mapped_nonMirna_SRR372648:miRCluster_2918_23:chr9:88010223_88010245+,9,88010223,88010245,False,SRR372648,
15496,10,1,-31.7,2,27,-7,0.5,0,27,1,4,15496,mapped_nonMirna_SRR372648:miRCluster_2926_22:chr9:95086004_95086025+,9,95086004,95086025,False,SRR372648,Hsa-Mir-24-P2_pri
15497,11,1,-68.5,2,35,11,0.85,0,35,0,2,15497,mapped_nonMirna_SRR372648:miRCluster_2928_19:chr9:96450175_96450193+,9,96450175,96450193,False,SRR372648,
15498,8,1,-30.9,2,26,15,0.44,0,26,0,3,15498,mapped_nonMirna_SRR372648:miRCluster_3100_26:chr9:127448501_127448526-,9,127448501,127448526,False,SRR372648,
15499,8,1,-18.5,1,23,6,0.5,0,23,0,6,15499,mapped_nonMirna_SRR372648:miRCluster_2979_30:chr9:131485721_131485750+,9,131485721,131485750,False,SRR372648,
15500,13,1,-14.0,2,15,-23,0.76,0,15,0,2,15500,mapped_nonMirna_SRR372648:miRCluster_3113_17:chr9:131576597_131576613-,9,131576597,131576613,False,SRR372648,
15501,17,0,-16.8,1,15,-13,0.77,1,15,1,3,15501,mapped_nonMirna_SRR372648:miRCluster_3123_23:chr9:136726816_136726838-,9,136726816,136726838,False,SRR372648,
15515,6,1,-1.9,1,6,-3,0.38,0,6,0,1,15515,mapped_nonMirna_SRR372648:miRCluster_5827_17:chrX:11063929_11063945-,X,11063929,11063945,False,SRR372648,
15516,7,1,-10.7,1,9,-11,0.54,0,9,1,1,15516,mapped_nonMirna_SRR372648:miRCluster_5832_16:chrX:17793842_17793857-,X,17793842,17793857,False,SRR372648,
15517,4,1,-4.8,1,7,-13,0.29,0,7,1,1,15517,mapped_nonMirna_SRR372648:miRCluster_5753_18:chrX:30863178_30863195+,X,30863178,30863195,False,SRR372648,
15518,11,1,-14.7,2,19,-25,0.73,0,19,0,3,15518,mapped_nonMirna_SRR372648:miRCluster_5855_17:chrX:43858022_43858038-,X,43858022,43858038,False,SRR372648,
15519,13,1,-10.3,2,20,-17,0.81,0,20,0,3,15519,mapped_nonMirna_SRR372648:miRCluster_5870_16:chrX:86461960_86461975-,X,86461960,86461975,False,SRR372648,
15520,8,1,-30.8,1,29,17,1.0,0,29,0,3,15520,mapped_nonMirna_SRR372648:miRCluster_5877_25:chrX:119787353_119787377-,X,119787353,119787377,False,SRR372648,
15521,7,1,-8.1,1,22,4,0.41,0,22,0,4,15521,mapped_nonMirna_SRR372648:miRCluster_5807_18:chrX:127392591_127392608+,X,127392591,127392608,False,SRR372648,
15522,13,1,-14.4,2,17,-26,0.76,0,17,0,2,15522,mapped_nonMirna_SRR372648:miRCluster_5815_22:chrX:143432018_143432039+,X,143432018,143432039,False,SRR372648,
15523,6,1,-9.3,2,23,8,0.38,0,23,0,3,15523,mapped_nonMirna_SRR372648:miRCluster_5895_22:chrX:149482046_149482067-,X,149482046,149482067,False,SRR372648,
15524,15,1,-41.2,1,30,3,0.75,0,30,0,4,15524,mapped_nonMirna_SRR372648:miRCluster_5898_25:chrX:151959638_151959662-,X,151959638,151959662,False,SRR372648,Hsa-Mir-452-v1_pri
15525,6,1,-10.8,2,29,-26,0.4,0,29,0,5,15525,mapped_nonMirna_SRR372648:miRCluster_5913_16:chrY:7803183_7803198-,Y,7803183,7803198,False,SRR372648,
15526,10,1,-10.1,1,18,0,0.59,0,18,0,4,15526,mapped_nonMirna_SRR372648:miRCluster_5911_18:chrY:15653130_15653147+,Y,15653130,15653147,False,SRR372648,
15527,20,0,-40.9,1,32,5,0.95,1,32,0,5,15527,mapped_mirna_SRR372650:miRCluster_4_23:chr1:1167124_1167146+,1,1167124,1167146,True,SRR372650,Hsa-Mir-8-P1a_pri
15528,19,0,-40.9,1,32,4,0.9,1,32,0,5,15528,mapped_mirna_SRR372650:miRCluster_5_24:chr1:1167160_1167183+,1,1167160,1167183,True,SRR372650,Hsa-Mir-8-P1a_pri
15529,21,0,-45.1,1,32,-1,0.95,1,32,0,4,15529,mapped_mirna_SRR372650:miRCluster_6_22:chr1:1167878_1167899+,1,1167878,1167899,True,SRR372650,Hsa-Mir-8-P2a_pri
15530,16,0,-45.1,1,32,12,0.76,1,32,0,4,15530,mapped_mirna_SRR372650:miRCluster_7_23:chr1:1167916_1167938+,1,1167916,1167938,True,SRR372650,Hsa-Mir-8-P2a_pri
15531,16,1,-38.8,1,29,3,0.76,0,29,0,3,15531,mapped_mirna_SRR372650:miRCluster_8_23:chr1:1169054_1169076+,1,1169054,1169076,True,SRR372650,Hsa-Mir-8-P3a_pri
15532,17,1,-54.3,1,33,4,0.89,0,33,0,4,15532,mapped_mirna_SRR372650:miRCluster_188_21:chr1:3560710_3560730-,1,3560710,3560730,True,SRR372650,Hsa-Mir-551-P1_pri
15533,18,0,-39.2,1,35,10,0.86,1,35,0,5,15533,mapped_mirna_SRR372650:miRCluster_192_24:chr1:9151691_9151714-,1,9151691,9151714,True,SRR372650,Hsa-Mir-34-P1_pri
15534,20,0,-39.2,1,35,7,0.91,1,35,0,5,15534,mapped_mirna_SRR372650:miRCluster_193_26:chr1:9151732_9151757-,1,9151732,9151757,True,SRR372650,Hsa-Mir-34-P1_pri
15535,18,0,-36.8,3,32,-34,0.86,1,32,0,4,15535,mapped_mirna_SRR372650:miRCluster_208_23:chr1:33332405_33332427-,1,33332405,33332427,True,SRR372650,
15536,17,0,-36.8,3,32,-32,0.81,1,32,0,4,15536,mapped_mirna_SRR372650:miRCluster_209_25:chr1:33332449_33332473-,1,33332449,33332473,True,SRR372650,
15537,20,0,-52.1,1,34,2,0.91,1,34,0,3,15537,mapped_mirna_SRR372650:miRCluster_45_27:chr1:40754370_40754396+,1,40754370,40754396,True,SRR372650,Hsa-Mir-30-P1d_pri
15538,20,0,-52.1,1,34,3,1.0,1,34,0,3,15538,mapped_mirna_SRR372650:miRCluster_46_24:chr1:40754412_40754435+,1,40754412,40754435,True,SRR372650,Hsa-Mir-30-P1d_pri
15539,16,0,-34.3,1,31,10,0.76,1,31,0,5,15539,mapped_mirna_SRR372650:miRCluster_47_25:chr1:40757300_40757324+,1,40757300,40757324,True,SRR372650,Hsa-Mir-30-P2d_pri
15540,17,0,-34.3,1,31,5,0.81,1,31,0,5,15540,mapped_mirna_SRR372650:miRCluster_48_23:chr1:40757339_40757361+,1,40757339,40757361,True,SRR372650,Hsa-Mir-30-P2d_pri
15541,20,0,-47.0,1,29,2,1.0,1,29,0,2,15541,mapped_mirna_SRR372650:miRCluster_236_26:chr1:65058439_65058464-,1,65058439,65058464,True,SRR372650,Hsa-Mir-101-P1-v1_pri
15542,19,0,-47.0,1,29,2,0.95,1,29,0,2,15542,mapped_mirna_SRR372650:miRCluster_237_24:chr1:65058476_65058499-,1,65058476,65058499,True,SRR372650,Hsa-Mir-101-P1-v1_pri
15543,18,0,-41.1,1,33,4,0.95,1,33,0,3,15543,mapped_mirna_SRR372650:miRCluster_245_24:chr1:71067640_71067663-,1,71067640,71067663,True,SRR372650,Hsa-Mir-186_pri
15544,19,0,-41.1,1,33,2,0.9,1,33,0,3,15544,mapped_mirna_SRR372650:miRCluster_246_26:chr1:71067678_71067703-,1,71067678,71067703,True,SRR372650,Hsa-Mir-186_pri
15545,18,1,-44.5,1,34,8,0.82,0,34,0,6,15545,mapped_mirna_SRR372650:miRCluster_105_25:chr1:109598939_109598963+,1,109598939,109598963,True,SRR372650,Hsa-Mir-197_pri
15546,19,1,-61.1,1,33,3,0.95,0,33,0,4,15546,mapped_mirna_SRR372650:miRCluster_119_23:chr1:155195237_155195259+,1,155195237,155195259,True,SRR372650,Hsa-Mir-92-P1d_pri
15547,19,0,-40.2,1,34,6,0.9,1,34,0,4,15547,mapped_mirna_SRR372650:miRCluster_282_23:chr1:156420353_156420375-,1,156420353,156420375,True,SRR372650,Hsa-Mir-9-P3_pri
15548,20,0,-40.2,1,34,5,0.91,1,34,0,4,15548,mapped_mirna_SRR372650:miRCluster_283_23:chr1:156420392_156420414-,1,156420392,156420414,True,SRR372650,Hsa-Mir-9-P3_pri
15549,17,0,-57.1,1,33,4,0.85,1,33,0,2,15549,mapped_mirna_SRR372650:miRCluster_301_24:chr1:172138816_172138839-,1,172138816,172138839,True,SRR372650,Hsa-Mir-214-v2_pri
15550,19,0,-57.1,1,33,2,0.86,1,33,0,2,15550,mapped_mirna_SRR372650:miRCluster_302_23:chr1:172138856_172138878-,1,172138856,172138878,True,SRR372650,Hsa-Mir-214-v2_pri
15551,18,0,-39.6,1,32,7,0.9,1,32,0,7,15551,mapped_mirna_SRR372650:miRCluster_303_26:chr1:172144552_172144577-,1,172144552,172144577,True,SRR372650,Hsa-Mir-199-P1-v3_pri
15552,18,0,-39.6,1,32,4,0.82,1,32,0,7,15552,mapped_mirna_SRR372650:miRCluster_304_24:chr1:172144591_172144614-,1,172144591,172144614,True,SRR372650,Hsa-Mir-199-P1-v3_pri
15553,17,0,-33.2,1,29,5,0.89,1,29,0,3,15553,mapped_mirna_SRR372650:miRCluster_327_21:chr1:198858887_198858907-,1,198858887,198858907,True,SRR372650,Hsa-Mir-181-P2a_pri
15554,15,0,-33.2,1,29,11,0.75,1,29,0,3,15554,mapped_mirna_SRR372650:miRCluster_328_26:chr1:198858923_198858948-,1,198858923,198858948,True,SRR372650,Hsa-Mir-181-P2a_pri
15555,18,0,-29.6,1,31,5,0.9,1,31,0,7,15555,mapped_mirna_SRR372650:miRCluster_329_23:chr1:198859069_198859091-,1,198859069,198859091,True,SRR372650,Hsa-Mir-181-P1a_pri
15556,16,0,-29.6,1,31,7,0.76,1,31,0,7,15556,mapped_mirna_SRR372650:miRCluster_330_26:chr1:198859106_198859131-,1,198859106,198859131,True,SRR372650,Hsa-Mir-181-P1a_pri
15557,20,0,-46.7,1,36,7,0.91,1,36,0,3,15557,mapped_mirna_SRR372650:miRCluster_341_23:chr1:205448322_205448344-,1,205448322,205448344,True,SRR372650,Hsa-Mir-135-P4_pri
15558,19,0,-48.6,1,37,4,0.86,1,37,0,4,15558,mapped_mirna_SRR372650:miRCluster_342_23:chr1:205448361_205448383-,1,205448361,205448383,True,SRR372650,Hsa-Mir-135-P4_pri
15559,17,0,-34.6,1,31,2,0.85,1,31,0,4,15559,mapped_mirna_SRR372650:miRCluster_344_24:chr1:207801864_207801887-,1,207801864,207801887,True,SRR372650,Hsa-Mir-29-P2d_pri
15560,16,0,-34.6,1,31,4,0.84,1,31,0,4,15560,mapped_mirna_SRR372650:miRCluster_345_26:chr1:207801899_207801924-,1,207801899,207801924,True,SRR372650,Hsa-Mir-29-P2d_pri
15561,19,0,-32.8,1,34,3,0.9,1,34,0,5,15561,mapped_mirna_SRR372650:miRCluster_346_27:chr1:207802448_207802474-,1,207802448,207802474,True,SRR372650,Hsa-Mir-29-P1d-v1_pri
15562,19,0,-35.6,1,35,2,0.86,1,35,0,5,15562,mapped_mirna_SRR372650:miRCluster_347_25:chr1:207802490_207802514-,1,207802490,207802514,True,SRR372650,Hsa-Mir-29-P1d-v1_pri
15563,18,1,-38.7,1,30,1,0.86,0,30,0,3,15563,mapped_mirna_SRR372650:miRCluster_157_23:chr1:209432166_209432188+,1,209432166,209432188,True,SRR372650,Hsa-Mir-205-P4_pri
